key,value
iron,"Commodity,iron,ore,steel,vale,metal"
copper,"copper,metal,mmg,rare earth"
crude oil,"crude,oil,petro,gas,opec,shale"
s&p ,"US Equity,us,s&p 500"
dow jones,"dow jones,dow"
russell 2000,"russell 2000,small cap"
DAX Index,"MSCI EAFE,germany,EU,export,dax,euro"
CAC Index,"france,macron,cac"
UKX Index,"uk,brexit,ftse 100,ukx,sterling"
NKY Index,"japan,nikkei,asia"
ASX Index,"asx,aussie,metal,miner,mining"
XU1 Index,"MSCI EM,china,trade,ftse a50"
TWSE Index,"taiwan,tsmc,twse,tech"
KOSPI Index,"korea,kospi,samsung"
HSI Index,"hong kong,tencent,his"
hy,"hy,high yield,energy,credit,default"
ig,"ig,investment grade,bonds,at&t,comcast,banks"
ed,"cash,eurodollar,liquidity,libor,USD"
UST,"treasuries,Fed,inflation,wage growth,us treasuries,treasuries"
gold,"gold,bullion,silver"
japn,"japan,nikkei,abe,auto"
stoxx ,"europe,EU,germany,france,italy,bundesbank"
btp,"italy,budget,peripheral,ecb"
